日付,決算,証憑,コード,科目名,コード,補助名,コード,部門名,税コード,税率,コード,科目名,コード,補助名,コード,部門名,税コード,税率,金額,消費税,摘要,取引先,メモ,事務所メモ
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3045,,    ,,810,,31900,,売掛の入金　手数料売上,サンメディックス㈱,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,2126,,    ,,810,,22000,,売掛の入金　手数料売上,NECライベックス,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,2126,,    ,,810,,17600,,売掛の入金　手数料売上,NECライベックス,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3118,,    ,,810,,5621,,売掛の入金　手数料売上,ライフテック,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3049,,    ,,810,,8261,,売掛の入金　手数料売上,シテーィ企画工業,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,1,,    ,,810,,906026,,売掛の入金　手数料売上,大興資源,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3098,,    ,,810,,20108,,売掛の入金　手数料売上,フジヤモデル,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3165,,    ,,810,,4400,,売掛の入金　手数料売上,リフト,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3159,,    ,,810,,110000,,売掛の入金　手数料売上,カナイエンタープライズ,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3007,,    ,,810,,16599,,売掛の入金　手数料売上,イーストサウンド,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3018,,    ,,810,,1650,,売掛の入金　手数料売上,荏原実業㈱,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3106,,    ,,810,,66671,,売掛の入金　手数料売上,岬水産,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3028,,    ,,810,,47597,,売掛の入金　手数料売上,神奈川中央交通東㈱,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3204,,    ,,810,,33000,,売掛の入金　手数料売上,ティーエスエンバイロ,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3187,,    ,,810,,1980,,売掛の入金　手数料売上,グリーン調剤薬局,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3069,,    ,,810,,10120,,売掛の入金　手数料売上,ユニック産業,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3070,,    ,,810,,3300,,売掛の入金　手数料売上,ティーエム設備工業,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,35,,    ,,810,,32142,,売掛の入金　手数料売上,㈱ビーナス,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3034,,    ,,810,,41839,,売掛の入金　手数料売上,長谷工シニアウェルデザイン,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3017,,    ,,810,,9097,,売掛の入金　手数料売上,英和工業,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3048,,    ,,810,,5621,,売掛の入金　手数料売上,ジェーケービー,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,1004,,    ,,810,,550,,売掛の入金　手数料売上,リタリコ,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3147,,    ,,810,,45430,,売掛の入金　手数料売上,バトロコ,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3126,,    ,,810,,59741,,売掛の入金　手数料売上,メッドトラスト東京,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3131,,    ,,810,,77539,,売掛の入金　手数料売上,キンキショウジ,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3046,,    ,,810,,19206,,売掛の入金　手数料売上,賛友精機,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3058,,    ,,810,,1408,,売掛の入金　手数料売上,大丸化工,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3185,,    ,,810,,44000,,売掛の入金　手数料売上,有馬病院,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3068,,    ,,810,,10450,,売掛の入金　手数料売上,地質計測,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,1017,,    ,,810,,4400,,売掛の入金　手数料売上,エスエフインフォネット,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3170,,    ,,810,,5621,,売掛の入金　手数料売上,アースキッズ,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,1008,,    ,,810,,5500,,売掛の入金　手数料売上,エムコミュー,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3096,,    ,,810,,11220,,売掛の入金　手数料売上,富士教材,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3114,,    ,,810,,29161,,売掛の入金　手数料売上,エコミット,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3024,,    ,,810,,6039,,売掛の入金　手数料売上,奥村動物病院,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3047,,    ,,810,,1650,,売掛の入金　手数料売上,ジーエヌイー,,
